customer_unique_id,cluster_id,assigned_friction,assigned_package,intervention_cost,P0_original_probability,P_new_counterfactual_probability,delta_P,delta_CLV,x_i_selected_100pct_budget,x_i_selected_unconstrained
0000366f3b9a7992bf8c76cfdf3221e2,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.30407634,0.21925196,0.0,0.0,0,0
000ed48ceeb6f4bf8ad021a10a3c7b43,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.23005041,0.22132108,0.0,0.0,0,0
00196c4c9a3af7dd2ad10eade69c926f,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.19282608,0.17368259,0.0,0.0,0,0
001a34eb30ecb8e3aacb07c475ca4dd1,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.16202502,0.17604423,0.014019206,0.9582828374952079,0,0
001a3a8e11d76c9a366c31a4aa2cc529,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.19860259,0.16250265,0.0,0.0,0,0
002311514717ca8b65b09a26cdf7b91a,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.18216184,0.18277642,0.0006145835,0.032150398939847946,0,0
00256bf7b05c08f6a5849df3d0a64f1f,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.21609601,0.20455429,0.0,0.0,0,0
003162bf0351f47a1a247992b8b9b42d,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.19248,0.19248,0.0,0.0,0,0
0032ca69771a7758ce643258bb9e4ac7,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.18605922,0.21461011,0.028550893,0.5781555846333504,0,0
0033f4a2887e07e25aa1204d482f41ba,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.21688868,0.7407729,0.52388424,0.0,0,0
00344274804f3b8003de1b0562ae01df,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.18070357,0.19248,0.011776432,0.0,0,0
0035029989e6fc5cf030918a5f9f2037,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.30566192,0.22997186,0.0,0.0,0,0
003db7adfcdc49857b095a50191b6c9d,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.25422335,0.25422335,0.0,0.0,0,0
003fb95e849e71e732629d94bb92762f,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.2571253,0.22985335,0.0,0.0,0,0
003fee4ca17927283128c7ddc6f9311b,3,logistics,Experience Recovery (Gói Bồi Thường Trải Nghiệm),10.025694444444445,0.15314865,0.15314865,0.0,0.0,0,0
0042dfa8925d6eb23e471ec350454f04,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.18791689,0.16938348,0.0,0.0,0,0
0045e9ad4d6c85d2323a7ab374b76183,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.17565224,0.16663894,0.0,0.0,0,0
004df63539fd5e38d4b0a0506de7549c,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.18070357,0.19248,0.011776432,0.0,0,0
0058e7db269cc11558913b42beb115d0,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.17059962,0.13288495,0.0,0.0,0,0
005f060d4223956c62b64e9567a36f0f,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.24891527,0.2758766,0.026961342,0.0,0,0
005f6fa02633470267dcd1e3ecd0fa79,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.32395083,0.24146569,0.0,0.0,0,0
0068bd2e9e76c018846dbc6e2bec5ac5,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.21838288,0.18045418,0.0,0.0,0,0
006c10bfead12ac8d90486fb4ce4e603,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.18982264,0.17604423,0.0,0.0,0,0
00720f160ff500d3605a1bf403eb62d9,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.19741678,0.1750987,0.0,0.0,0,0
0074a1d3f1995ff0538dc7197500973c,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.2238109,0.21048625,0.0,0.0,0,0
0078108af1d2dc4b1601c744ca581b4f,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.15995963,0.15995963,0.0,0.0,0,0
007ba48697b079e78f168b051462dd1b,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.19052406,0.19498281,0.0044587553,0.25883074253797533,0,0
00950dbc783342e164c24e09023ebcb7,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.20510069,0.17604423,0.0,0.0,0,0
00ad4e6c01a3039fa1b45eaadb4222e4,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.16810967,0.17604423,0.007934555,0.2141972906067967,0,0
00ae50eb5e1d2514f694dee1dcbbd5ae,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.18371409,0.28739303,0.10367894,2.0341808366775513,0,0
00b1066a65657ee1759544f6b61a4e2c,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.16575049,0.16575049,0.0,0.0,0,0
00c05fe9d2f8b245f1f86fe559175f24,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.15753235,0.6659282,0.50839585,0.0,0,0
00c07da5ba0e07b4f248a3a373b07476,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.19248,0.19248,0.0,0.0,0,0
00cac13832bd0a8b6f50f6a36b053223,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.32395083,0.32395083,0.0,0.0,0,0
00cc0061269a99836cf8b029b1d0177d,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.18982264,0.17343745,0.0,0.0,0,0
00d4ef3e086e2191c3fb6e7b0d2a1c75,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.17238455,0.15275961,0.0,0.0,0,0
00d76f8bb8df7e07711da4076c52ffe0,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.15618815,0.06475114,0.0,0.0,0,0
00d8a60ad2500432d9edd109cfddfd9e,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.25807494,0.24170063,0.0,0.0,0,0
00da34ebf22b87f6c2f53dc069f237df,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.23476148,0.22797915,0.0,0.0,0,0
00df047af693b421c167e27932bfd6c5,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.1913764,0.20120217,0.009825766,0.6627970513701439,0,0
00fb957ae14ffd35a3211d8aa6d9cf9c,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.22985335,0.22985335,0.0,0.0,0,0
01027e860e6fb9591599d94a4189e2ad,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.17499813,0.15599898,0.0,0.0,0,0
01029081d0cfc339576f71ab45713d10,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.15280803,0.1686491,0.015841082,0.19888478122651573,0,0
010a0365ab237a5e2fed9d945121b627,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.15054855,0.7079054,0.55735683,12.640853004455565,1,1
011733687890faf081be6fde9e7cc7a0,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.23467647,0.22925058,0.0,0.0,0,0
0117fc67656c020dddef928c878ad5e3,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.18529248,0.16142291,0.0,0.0,0,0
0134caf89be2059cfd79af28d8bc1e7f,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.21461011,0.21461011,0.0,0.0,0,0
013689381e404bf6304f57bab4b8f01d,1,financial,Financial Relief (Gói Kích Cầu Thanh Khoản),5.579183694267516,0.22768526,0.23294923,0.0052639693,0.7575378222763537,0,0
013ef03e0f3f408dd9bf555e4edcdc0a,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.15135166,0.18277642,0.03142476,2.3536517357826234,0,0
0143a04eabe01ceb3a9fe2dde984e2b0,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.1893448,0.72768325,0.5383384,0.0,0,0
0145fc4d376df22449756022b9ccb472,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.20537879,0.19812545,0.0,0.0,0,0
01462a1d33f1b303bead3ec1ae2c4f7e,2,review,Service Resolution (Gói Chăm Sóc & Đổi Trả),8.758087935656835,0.18777037,0.19248,0.004709631,0.0,0,0
014f7e8caea3379aa3d30558424ca54f,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.15072106,0.16575049,0.01502943,0.25632693529129025,0,0
0166e2f8aaec14c93d23dea2523beac5,0,category,Category Re-engagement (Gói Tái Tương Tác Ngành),4.906540713248345,0.20320895,0.18549207,0.0,0.0,0,0
